GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
flight-booking-system,com.iyzico.challenge,Application,5,3,0,0,2,1,1,1,1,1
flight-booking-system,com.iyzico.challenge.controller,FlightController,0,37,0,0,0,8,0,5,0,5
flight-booking-system,com.iyzico.challenge.controller,SeatController,0,35,0,0,0,7,0,4,0,4
flight-booking-system,com.iyzico.challenge.controller,ListingController,0,11,0,0,0,2,0,2,0,2
flight-booking-system,com.iyzico.challenge.controller,SeatPurchaseController,0,13,0,0,0,2,0,2,0,2
flight-booking-system,com.iyzico.challenge.entity,Payment,4,36,0,0,0,7,1,8,1,8
flight-booking-system,com.iyzico.challenge.entity,Flight.FlightBuilder,10,35,0,0,0,1,1,6,1,6
flight-booking-system,com.iyzico.challenge.entity,Seat.SeatBuilder,22,44,0,0,0,1,2,7,2,7
flight-booking-system,com.iyzico.challenge.entity,Payment.PaymentBuilder,9,28,0,0,0,1,1,5,1,5
flight-booking-system,com.iyzico.challenge.entity,Flight,4,46,0,0,0,8,1,10,1,10
flight-booking-system,com.iyzico.challenge.entity,BaseEntity,28,32,0,0,5,11,8,4,8,4
flight-booking-system,com.iyzico.challenge.entity,Seat,12,58,0,0,0,9,3,12,3,12
flight-booking-system,com.iyzico.challenge.exception,GlobalExceptionHandler.ApiError,144,28,30,0,1,5,22,5,7,5
flight-booking-system,com.iyzico.challenge.exception,NotFoundException,0,4,0,0,0,1,0,1,0,1
flight-booking-system,com.iyzico.challenge.exception,BusinessException,0,4,0,0,0,2,0,1,0,1
flight-booking-system,com.iyzico.challenge.exception,GlobalExceptionHandler,0,34,0,0,0,10,0,5,0,5
flight-booking-system,com.iyzico.challenge.exception,SeatNotAvailableException,0,4,0,0,0,2,0,1,0,1
flight-booking-system,com.iyzico.challenge.service,PaymentServiceClients,0,13,0,0,0,5,0,2,0,2
flight-booking-system,com.iyzico.challenge.service,IyzicoPaymentService,0,51,0,0,0,13,0,3,0,3
flight-booking-system,com.iyzico.challenge.service,BankService,0,48,0,6,0,11,0,5,0,2
flight-booking-system,com.iyzico.challenge.iyzico.dto,IyzicoCreatePaymentRequest.Buyer,432,40,86,0,9,2,67,3,24,3
flight-booking-system,com.iyzico.challenge.iyzico.dto,IyzicoCreatePaymentRequest,558,91,118,0,2,16,78,16,19,16
flight-booking-system,com.iyzico.challenge.iyzico.dto,IyzicoCreatePaymentRequest.BasketItem,235,22,46,0,5,1,38,2,15,2
flight-booking-system,com.iyzico.challenge.iyzico.dto,IyzicoCreatePaymentRequest.Buyer.BuyerBuilder,22,77,0,0,0,1,1,12,1,12
flight-booking-system,com.iyzico.challenge.iyzico.dto,IyzicoCreatePaymentRequest.BasketItem.BasketItemBuilder,12,42,0,0,0,1,1,7,1,7
flight-booking-system,com.iyzico.challenge.iyzico.dto,IyzicoCreatePaymentRequest.Address.AddressBuilder,10,35,0,0,0,1,1,6,1,6
flight-booking-system,com.iyzico.challenge.iyzico.dto,IyzicoCreatePaymentRequest.PaymentCard.PaymentCardBuilder,14,49,0,0,0,1,1,8,1,8
flight-booking-system,com.iyzico.challenge.iyzico.dto,IyzicoCreatePaymentRequest.Address,192,22,38,0,3,2,31,3,12,3
flight-booking-system,com.iyzico.challenge.iyzico.dto,IyzicoCreatePaymentRequest.IyzicoCreatePaymentRequestBuilder,40,100,0,0,0,1,2,15,2,15
flight-booking-system,com.iyzico.challenge.iyzico.dto,IyzicoCreatePaymentRequest.PaymentCard,272,28,54,0,5,2,43,3,16,3
flight-booking-system,com.iyzico.challenge.iyzico.dto,IyzicoCreatePaymentResponse,263,76,62,0,0,10,35,16,4,16
flight-booking-system,com.iyzico.challenge.iyzico,IyzicoNon3dsClient,0,188,0,0,0,63,0,3,0,3
flight-booking-system,com.iyzico.challenge.iyzico,IyzicoAuthHelper,7,92,0,4,2,13,0,6,0,4
flight-booking-system,com.iyzico.challenge.service.impl,FlightServiceImpl,0,188,3,19,0,36,3,16,0,8
flight-booking-system,com.iyzico.challenge.service.impl,SeatPurchaseServiceImpl,0,239,0,16,0,50,0,17,0,9
flight-booking-system,com.iyzico.challenge.service.impl,ListingServiceImpl,0,66,0,0,0,19,0,4,0,4
flight-booking-system,com.iyzico.challenge.service.impl,SeatServiceImpl,0,161,1,7,0,31,1,11,0,8
flight-booking-system,com.iyzico.challenge.dto,FlightSeatListingResponse.AvailableSeatItem.AvailableSeatItemBuilder,9,28,0,0,0,1,1,5,1,5
flight-booking-system,com.iyzico.challenge.dto,FlightResponse,0,50,0,0,0,8,0,11,0,11
flight-booking-system,com.iyzico.challenge.dto,FlightRequest.FlightRequestBuilder,8,28,0,0,0,1,1,5,1,5
flight-booking-system,com.iyzico.challenge.dto,SeatPurchaseRequest,99,17,22,0,0,3,15,5,4,5
flight-booking-system,com.iyzico.challenge.dto,SeatRequest,99,17,22,0,0,3,15,5,4,5
flight-booking-system,com.iyzico.challenge.dto,FlightSeatListingResponse.FlightSeatListingResponseBuilder,13,42,0,0,0,1,1,7,1,7
flight-booking-system,com.iyzico.challenge.dto,BankPaymentResponse,0,16,0,0,0,7,0,4,0,4
flight-booking-system,com.iyzico.challenge.dto,FlightSeatListingResponse.AvailableSeatItem,132,40,30,0,0,7,19,9,4,9
flight-booking-system,com.iyzico.challenge.dto,FlightResponse.FlightResponseBuilder,10,35,0,0,0,1,1,6,1,6
flight-booking-system,com.iyzico.challenge.dto,SeatPurchaseResponse.SeatPurchaseResponseBuilder,20,63,0,0,0,1,1,10,1,10
flight-booking-system,com.iyzico.challenge.dto,FlightRequest,0,40,0,0,0,7,0,9,0,9
flight-booking-system,com.iyzico.challenge.dto,FlightSeatListingResponse,4,56,0,0,0,9,1,12,1,12
flight-booking-system,com.iyzico.challenge.dto,SeatResponse,219,37,46,0,1,6,32,7,9,7
flight-booking-system,com.iyzico.challenge.dto,SeatResponse.SeatResponseBuilder,14,42,0,0,0,1,1,7,1,7
flight-booking-system,com.iyzico.challenge.dto,BankPaymentRequest,0,10,0,0,0,4,0,3,0,3
flight-booking-system,com.iyzico.challenge.dto,SeatPurchaseResponse,330,55,70,0,1,9,47,10,12,10
flight-booking-system,com.iyzico.challenge.mapper,SeatMapperImpl,55,3,8,0,18,1,6,1,2,1
flight-booking-system,com.iyzico.challenge.mapper,FlightMapperImpl,29,3,2,0,8,1,2,1,1,1
flight-booking-system,com.iyzico.challenge.configuration,DatabaseConfiguration,0,37,0,0,0,10,0,3,0,3
flight-booking-system,com.iyzico.challenge.configuration,HttpClientConfig,0,7,0,0,0,2,0,2,0,2
flight-booking-system,com.iyzico.challenge.configuration,MessageConfig,0,50,0,0,0,15,0,5,0,5
flight-booking-system,com.iyzico.challenge.configuration,LazyDataSourceConfig,2,21,1,5,1,5,1,4,0,2
flight-booking-system,com.iyzico.challenge.enums,SeatStatus,0,34,0,0,0,4,0,1,0,1
